DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
22/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
23/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
23/04/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;8;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
23/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;2;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041000420;06/05/2020 16:30:48
23/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;3;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041000420;06/05/2020 16:30:48
24/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
24/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;3;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
24/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;12;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
24/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;5;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
25/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;3;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
25/04/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
25/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;2;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041000420;06/05/2020 16:30:48
25/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041000420;06/05/2020 16:30:48
25/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;20;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
25/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
25/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;16;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
25/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;13;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
26/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;6;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
26/04/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
26/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;3;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041000420;06/05/2020 16:30:48
26/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;4;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041000420;06/05/2020 16:30:48
26/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;12;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
26/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5004899;CINE TEATRO GLOBO;9;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
26/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;5;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
26/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;11;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
27/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;14;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
27/04/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
27/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5005024;CINE GLOBO SANTA ROSA;6;6000010;20979;29163;SANTA ROSA;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041000420;06/05/2020 16:30:48
27/04/2020;SONIC THE HEDGEHOG;SONIC - O FILME;E2000012200000;CANADÁ;5004899;CINE TEATRO GLOBO;2;6000010;20979;20980;TRÊS PASSOS;RS;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041000420;06/05/2020 16:30:48
28/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;89;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
28/04/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;133;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000520;06/05/2020 16:49:04
28/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;7;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
29/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;156;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
29/04/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;165;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000520;06/05/2020 16:49:04
29/04/2020;THE INVISIBLE MAN;O HOMEM INVISÍVEL;E1900438600000;AUSTRÁLIA;5005024;CINE GLOBO SANTA ROSA;8;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
30/04/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;221;;5465;6715;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
30/04/2020;GRETEL & HANSEL (2020);MARIA E JOÃO - O CONTO DAS BRUXAS;E1900467000000;ESTADOS UNIDOS;5006194;LITORAL PLAZA 02;179;6000027;22546;41704;PRAIA GRANDE;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001320;21/05/2020 15:23:10
30/04/2020;JUST MERCY;LUTA POR JUSTIÇA;E1900587300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;271;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000520;06/05/2020 16:49:04
30/04/2020;SMALLFOOT;PÉPEQUENO;E1800215200000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;55;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;30000320000520;06/05/2020 16:49:04
30/04/2020;THE TURNING;OS ÓRFÃOS;E1900570900000;ESTADOS UNIDOS;5005024;CINE GLOBO SANTA ROSA;4;6000010;20979;29163;SANTA ROSA;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000620;06/05/2020 16:32:09
